city,date,fips,confirmed_cases,population,next_day_cases,new_daily_cases
Acton,2021-01-02,37,279,7971.0,283.0,4.0
Acton,2021-01-03,37,283,7971.0,289.0,6.0
Acton,2021-01-04,37,289,7971.0,293.0,4.0
Acton,2021-01-05,37,293,7971.0,303.0,10.0
Acton,2021-01-06,37,303,7971.0,310.0,7.0
Acton,2021-01-07,37,310,7971.0,316.0,6.0
Acton,2021-01-08,37,316,7971.0,320.0,4.0
Acton,2021-01-09,37,320,7971.0,325.0,5.0
Acton,2021-01-10,37,325,7971.0,329.0,4.0
Acton,2021-01-11,37,329,7971.0,332.0,3.0
Acton,2021-01-12,37,332,7971.0,339.0,7.0
Acton,2021-01-13,37,339,7971.0,342.0,3.0
Acton,2021-01-14,37,342,7971.0,350.0,8.0
Acton,2021-01-15,37,350,7971.0,358.0,8.0
Acton,2021-01-16,37,358,7971.0,361.0,3.0
Acton,2021-01-17,37,361,7971.0,366.0,5.0
Acton,2021-01-18,37,366,7971.0,369.0,3.0
Acton,2021-01-19,37,369,7971.0,370.0,1.0
Acton,2021-01-20,37,370,7971.0,371.0,1.0
Acton,2021-01-21,37,371,7971.0,373.0,2.0
Acton,2021-01-22,37,373,7971.0,373.0,0.0
Acton,2021-01-23,37,373,7971.0,375.0,2.0
Acton,2021-01-24,37,375,7971.0,380.0,5.0
Acton,2021-01-25,37,380,7971.0,382.0,2.0
Acton,2021-01-26,37,382,7971.0,388.0,6.0
Acton,2021-01-27,37,388,7971.0,389.0,1.0
Acton,2021-01-28,37,389,7971.0,390.0,1.0
Acton,2021-01-29,37,390,7971.0,392.0,2.0
Acton,2021-01-30,37,392,7971.0,395.0,3.0
Acton,2021-01-31,37,395,7971.0,398.0,3.0
Acton,2021-02-01,37,398,7971.0,398.0,0.0
Acton,2021-02-02,37,398,7971.0,400.0,2.0
Acton,2021-02-03,37,400,7971.0,403.0,3.0
Acton,2021-02-04,37,403,7971.0,405.0,2.0
Acton,2021-02-05,37,405,7971.0,405.0,0.0
Acton,2021-02-06,37,405,7971.0,408.0,3.0
Acton,2021-02-07,37,408,7971.0,408.0,0.0
Acton,2021-02-08,37,408,7971.0,409.0,1.0
Acton,2021-02-09,37,409,7971.0,412.0,3.0
Acton,2021-02-10,37,412,7971.0,414.0,2.0
Acton,2021-02-11,37,414,7971.0,417.0,3.0
Acton,2021-02-12,37,417,7971.0,420.0,3.0
Acton,2021-02-13,37,420,7971.0,421.0,1.0
Acton,2021-02-14,37,421,7971.0,421.0,0.0
Acton,2021-02-15,37,421,7971.0,422.0,1.0
Acton,2021-02-16,37,422,7971.0,425.0,3.0
Acton,2021-02-17,37,425,7971.0,427.0,2.0
Acton,2021-02-18,37,427,7971.0,429.0,2.0
Acton,2021-02-19,37,429,7971.0,430.0,1.0
Acton,2021-02-20,37,430,7971.0,434.0,4.0
Acton,2021-02-21,37,434,7971.0,434.0,0.0
Acton,2021-02-22,37,434,7971.0,437.0,3.0
Acton,2021-02-23,37,437,7971.0,439.0,2.0
Acton,2021-02-24,37,439,7971.0,441.0,2.0
Acton,2021-02-25,37,441,7971.0,444.0,3.0
Acton,2021-02-26,37,444,7971.0,447.0,3.0
Acton,2021-02-27,37,447,7971.0,447.0,0.0
Acton,2021-02-28,37,447,7971.0,447.0,0.0
Acton,2021-03-02,37,446,7971.0,447.0,1.0
Acton,2021-03-03,37,447,7971.0,450.0,3.0
Acton,2021-03-04,37,450,7971.0,452.0,2.0
Acton,2021-03-05,37,452,7971.0,452.0,0.0
Acton,2021-03-06,37,452,7971.0,454.0,2.0
Acton,2021-03-07,37,454,7971.0,455.0,1.0
Acton,2021-03-08,37,455,7971.0,455.0,0.0
Acton,2021-03-09,37,455,7971.0,455.0,0.0
Acton,2021-03-10,37,455,7971.0,456.0,1.0
Acton,2021-03-11,37,456,7971.0,456.0,0.0
Acton,2021-03-12,37,456,7971.0,456.0,0.0
Acton,2021-03-13,37,456,7971.0,456.0,0.0
Acton,2021-03-14,37,456,7971.0,456.0,0.0
Acton,2021-03-15,37,456,7971.0,456.0,0.0
Acton,2021-03-16,37,456,7971.0,457.0,1.0
Acton,2021-03-18,37,455,7971.0,458.0,3.0
Acton,2021-03-19,37,458,7971.0,458.0,0.0
Acton,2021-03-20,37,458,7971.0,458.0,0.0
Acton,2021-03-21,37,458,7971.0,458.0,0.0
Acton,2021-03-22,37,458,7971.0,459.0,1.0
Acton,2021-03-23,37,459,7971.0,460.0,1.0
Acton,2021-03-25,37,459,7971.0,460.0,1.0
Acton,2021-03-26,37,460,7971.0,460.0,0.0
Acton,2021-03-27,37,460,7971.0,460.0,0.0
Acton,2021-03-28,37,460,7971.0,460.0,0.0
Acton,2021-03-29,37,460,7971.0,461.0,1.0
Acton,2021-03-30,37,461,7971.0,461.0,0.0
Acton,2021-03-31,37,461,7971.0,462.0,1.0
Acton,2021-04-01,37,462,7971.0,462.0,0.0
Acton,2021-04-02,37,462,7971.0,463.0,1.0
Acton,2021-04-03,37,463,7971.0,463.0,0.0
Acton,2021-04-04,37,463,7971.0,463.0,0.0
Acton,2021-04-05,37,463,7971.0,463.0,0.0
Acton,2021-04-06,37,463,7971.0,463.0,0.0
Acton,2021-04-08,37,462,7971.0,463.0,1.0
Acton,2021-04-09,37,463,7971.0,464.0,1.0
Acton,2021-04-10,37,464,7971.0,465.0,1.0
Acton,2021-04-11,37,465,7971.0,465.0,0.0
Acton,2021-04-12,37,465,7971.0,465.0,0.0
Acton,2021-04-13,37,465,7971.0,466.0,1.0
Acton,2021-04-14,37,466,7971.0,466.0,0.0
Acton,2021-04-15,37,466,7971.0,468.0,2.0
Acton,2021-04-16,37,468,7971.0,469.0,1.0
Acton,2021-04-17,37,469,7971.0,469.0,0.0
Acton,2021-04-18,37,469,7971.0,469.0,0.0
Acton,2021-04-19,37,469,7971.0,469.0,0.0
Acton,2021-04-20,37,469,7971.0,469.0,0.0
Acton,2021-04-21,37,469,7971.0,469.0,0.0
Acton,2021-04-22,37,469,7971.0,469.0,0.0
Acton,2021-04-23,37,469,7971.0,470.0,1.0
Acton,2021-04-24,37,470,7971.0,470.0,0.0
Acton,2021-04-25,37,470,7971.0,470.0,0.0
Acton,2021-04-26,37,470,7971.0,470.0,0.0
Acton,2021-04-27,37,470,7971.0,470.0,0.0
Acton,2021-04-28,37,470,7971.0,470.0,0.0
Acton,2021-04-29,37,470,7971.0,470.0,0.0
Acton,2021-04-30,37,470,7971.0,470.0,0.0
Acton,2021-05-01,37,470,7971.0,470.0,0.0
Acton,2021-05-02,37,470,7971.0,470.0,0.0
Acton,2021-05-03,37,470,7971.0,470.0,0.0
Acton,2021-05-04,37,470,7971.0,470.0,0.0
Acton,2021-05-05,37,470,7971.0,470.0,0.0
Acton,2021-05-06,37,470,7971.0,470.0,0.0
Acton,2021-05-07,37,470,7971.0,471.0,1.0
Acton,2021-05-08,37,471,7971.0,471.0,0.0
Acton,2021-05-09,37,471,7971.0,473.0,2.0
Acton,2021-05-10,37,473,7971.0,473.0,0.0
Acton,2021-05-11,37,473,7971.0,473.0,0.0
Acton,2021-05-12,37,473,7971.0,473.0,0.0
Acton,2021-05-13,37,473,7971.0,474.0,1.0
Acton,2021-05-14,37,474,7971.0,475.0,1.0
Acton,2021-05-15,37,475,7971.0,475.0,0.0
Acton,2021-05-16,37,475,7971.0,475.0,0.0
Acton,2021-05-17,37,475,7971.0,475.0,0.0
Acton,2021-05-18,37,475,7971.0,476.0,1.0
Acton,2021-05-19,37,476,7971.0,477.0,1.0
Acton,2021-05-20,37,477,7971.0,477.0,0.0
Acton,2021-05-21,37,477,7971.0,477.0,0.0
Acton,2021-05-22,37,477,7971.0,477.0,0.0
Acton,2021-05-23,37,477,7971.0,479.0,2.0
Acton,2021-05-24,37,479,7971.0,479.0,0.0
Acton,2021-05-25,37,479,7971.0,480.0,1.0
